Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.9374276,1.245000,9.871051,1.279950,10.031248,82.669289,82.811447
0.9420903,1.258950,9.862050,1.270950,10.022988,82.715080,82.725197
0.9467537,1.266000,9.865951,1.258950,10.026200,82.786552,82.687759
0.9514170,1.273050,9.876000,1.261050,10.037245,82.782455,82.654884
0.9560825,1.290000,9.883051,1.270950,10.047592,82.733017,82.563423
0.9607459,1.306950,9.865951,1.303950,10.037200,82.535507,82.453918
0.9654097,1.302000,9.871051,1.306950,10.041961,82.521805,82.486015
0.9700745,1.294950,9.856951,1.291950,10.025244,82.595718,82.515671
0.9747374,1.294950,9.859051,1.318950,10.030823,82.444313,82.517242
0.9794014,1.303950,9.835051,1.321050,10.008680,82.415375,82.447662
0.9840659,1.321050,9.850051,1.326000,10.026313,82.400253,82.361298
0.9887316,1.321050,9.841950,1.326000,10.018355,82.394180,82.355087
0.9933965,1.314000,9.844951,1.303950,10.017482,82.520729,82.397697
0.9980604,1.321050,9.850051,1.321050,10.025660,82.428291,82.361298
1.0027248,1.330950,9.853951,1.330950,10.032108,82.376144,82.307747
1.0073898,1.333050,9.864000,1.324050,10.041346,82.422920,82.303513
1.0120531,1.330950,9.883051,1.342950,10.062288,82.330208,82.330124
1.0167171,1.306950,9.883051,1.321050,10.056241,82.451454,82.466827
1.0213820,1.303950,9.864000,1.303950,10.034893,82.533783,82.469574
1.0260463,1.278000,9.844951,1.285050,10.010380,82.624489,82.603638
1.0307105,1.291950,9.852000,1.309050,10.022208,82.494873,82.529099
1.0353731,1.300050,9.859051,1.300050,10.029016,82.551849,82.488113
1.0400376,1.290000,9.865951,1.306950,10.035398,82.516884,82.550682
1.0447019,1.288050,9.883051,1.288050,10.049520,82.636124,82.574539
1.0493647,1.291950,9.876000,1.282950,10.042434,82.660240,82.547050
1.0540283,1.270950,9.864000,1.261050,10.025171,82.773712,82.658043
1.0586921,1.279950,9.862050,1.261050,10.024398,82.773155,82.605179
1.0633554,1.278000,9.850051,1.267950,10.013216,82.725243,82.607430
1.0680206,1.279950,9.840000,1.267950,10.003578,82.718193,82.588791
1.0726852,1.273050,9.856951,1.273050,10.020020,82.700806,82.640846
1.0773499,1.258950,9.856951,1.261050,10.016720,82.767586,82.721474
