Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.8000358,0.803988,9.787243,0.919442,9.863158,84.651131,85.303894
0.8025520,0.820738,9.753445,0.929013,9.831905,84.578056,85.189972
0.8050681,0.792024,9.789636,0.938585,9.866368,84.541214,85.374596
0.8075843,0.825524,9.782457,0.933799,9.861538,84.566467,85.176338
0.8101005,0.806381,9.768100,0.883550,9.841071,84.848946,85.280792
0.8126167,0.818345,9.780065,0.893121,9.854796,84.800262,85.216927
0.8151315,0.806381,9.772886,0.917049,9.848886,84.657341,85.283089
0.8176476,0.801596,9.784850,0.909871,9.859701,84.705109,85.316666
0.8201637,0.799203,9.775279,0.909871,9.850009,84.699883,85.326035
0.8226799,0.801596,9.760623,0.950549,9.839505,84.456276,85.305092
0.8251961,0.842274,9.758230,0.945763,9.840069,84.484589,85.066788
0.8277122,0.856631,9.765409,0.926621,9.846606,84.600159,84.986794
0.8302283,0.815953,9.746265,0.907478,9.822371,84.698944,85.214386
0.8327444,0.806381,9.748658,0.974477,9.830371,84.310974,85.271423
0.8352563,0.813560,9.734302,0.945763,9.813918,84.469849,85.222519
0.8377724,0.837488,9.707980,0.974477,9.792644,84.288979,85.069412
0.8402884,0.854238,9.729516,0.948156,9.812860,84.455215,84.982376
0.8428043,0.818345,9.731909,0.933799,9.810796,84.538277,85.193367
0.8453204,0.876072,9.719945,0.945763,9.805065,84.464836,84.849770
0.8478364,0.871287,9.748658,0.972084,9.835671,84.328056,84.892761
0.8503525,0.866202,9.743873,0.917049,9.825189,84.644417,84.919930
0.8528685,0.837488,9.707980,0.929013,9.788224,84.553787,85.069412
0.8553839,0.842274,9.722338,0.960120,9.805871,84.381012,85.048668
0.8578999,0.878465,9.731909,0.943370,9.816909,84.485565,84.842094
0.8604159,0.890429,9.710373,0.948156,9.797102,84.446266,84.760704
0.8629319,0.919143,9.696016,0.933799,9.784147,84.523354,84.584778
0.8654480,0.895215,9.724730,0.938585,9.810847,84.510231,84.740433
0.8679639,0.876072,9.746265,0.936192,9.830242,84.535103,84.863602
0.8704800,0.900000,9.724730,0.924228,9.809922,84.593941,84.712479
0.8729960,0.871287,9.703195,0.919442,9.785525,84.608566,84.868958
0.8755144,0.897608,9.727123,0.902692,9.810070,84.720352,84.727745
0.8780305,0.883251,9.746265,0.895514,9.827094,84.771553,84.821739
0.8805466,0.876072,9.734302,0.905085,9.815463,84.709236,84.857323
0.8830627,0.895215,9.693624,0.907478,9.777079,84.674316,84.723648
